,age,sex,has_pets,is_parent,relation,is_driver,tr_per_month,median_tr,mean_tr
13284,28.0,1,0,1,0,0,17.589148869346733,750.0,1744.6855072463768
26450,36.0,2,0,1,0,0,63.26282967032967,1263.16,4293.949577039275
13749,38.0,2,0,0,4,0,0.9442096259124088,607.95,1086.229411764706
27137,32.0,2,0,1,0,0,17.355494680851063,797.0,1313.9784701492538
11236,33.0,2,0,0,4,0,2.959140625,33200.0,27503.007142857143
3422,25.0,2,1,0,0,0,7.924692164179104,1000.0,1401.6089171974522
3294,64.0,1,0,0,0,0,41.01321049528302,232.0,1082.7909451575265
16999,44.0,1,0,0,4,0,33.21790926395939,180.0,332.8487441860465
1152,41.0,1,0,1,0,0,24.425830721003138,999.0,1913.0049609375
7911,40.0,1,0,1,0,0,7.550232558139534,1592.0,2046.141875
10361,22.0,2,0,0,0,0,1.007102481617647,850.0,1064.0
10065,28.0,2,0,0,4,0,15.2184375,14500.0,14500.0
27884,65.0,1,0,0,0,0,9.63434940944882,2149.3,3710.832338308458
20324,40.0,2,0,1,0,0,30.77134615384616,500.0,2470.4838509316774
6051,33.0,2,1,0,0,0,9.56967248908297,191.0,782.4709722222223
9085,22.0,1,0,0,7,0,4.406410857908847,158.65,609.5098148148148
5469,34.0,2,0,0,4,0,13.83494318181818,30000.0,38672.956
16529,25.0,1,0,0,0,0,26.787369604316545,200.0,788.6752588555859
26522,41.0,2,0,0,1,0,4.036890789473684,16400.0,20723.809523809523
14119,29.0,2,0,0,0,0,2.3778808593750003,4800.0,5540.0
28902,48.0,2,0,0,0,0,27.460398264984228,516.345,754.2990909090911
15460,21.0,2,0,0,0,0,37.75799415367484,251.0,497.45879712746864
24748,30.0,2,0,0,0,0,8.04462363760218,1072.14,2629.844329896908
1692,35.0,2,0,0,0,0,3.1000520833333334,786.0,8069.146060606061
1258,28.0,1,0,0,0,0,21.559453125,343.78,793.5083823529412
28593,23.0,1,0,0,0,0,1.9958606557377048,1510.0,4368.6565
28007,31.0,1,0,0,0,0,15.792718160377358,365.0,1477.3996666666667
23552,31.0,2,0,0,0,0,21.44533637521222,532.15,2166.286024096385
22286,35.0,1,0,1,4,0,2.183811659192825,876.75,986.7125
3601,36.0,1,0,1,2,0,1.35275,1598.25,2152.20375
503,33.0,2,0,0,0,0,40.321519292604506,247.0,1003.3454854368932
17270,48.0,2,0,0,0,0,37.21015140845071,204.1,751.4292857142857
4505,41.0,1,1,1,0,0,22.97122641509434,593.5,2621.6058125
29268,29.0,1,0,0,0,0,9.183954383886256,254.0,1763.942565445026
3651,55.0,1,0,0,0,0,18.58703983516484,1180.06,3479.7369665809765
3281,28.0,1,0,1,0,0,9.394097222222223,1321.7,1766.3275999999998
22584,50.0,1,0,0,4,0,1.832965530903328,20750.0,21752.63157894737
15796,36.0,2,0,0,0,0,27.245528169014083,200.0,574.5448426573427
2978,39.0,2,0,0,0,0,111.601875,221.0,681.1363636363636
27812,32.0,1,0,0,0,0,2.0990948275862067,16500.0,17400.0
23878,63.0,2,0,1,0,0,17.400009715025906,302.72,1251.367280966767
20640,38.0,2,0,1,0,0,22.889319286871963,501.395,1491.8741594827586
9104,42.0,1,0,1,0,0,2.1978487417943104,300.0,1151.8254545454547
25834,53.0,2,0,0,0,0,3.963644493569132,40000.0,45642.644567901225
22826,36.0,1,0,1,0,0,5.8218183724832215,895.46,1028.1921052631578
8518,59.0,2,0,0,0,0,17.86721617879747,1172.03,2135.179973045822
28864,31.0,2,0,0,0,0,64.92881955329155,208.0,987.6258927259368
7290,24.0,2,0,0,1,0,1.513435773480663,40000.0,36277.77777777778
29565,33.0,1,0,0,0,0,5.418686079545455,200.0,507.3536170212767
25703,42.0,2,0,0,0,0,2.213590909090909,7250.0,12952.136363636364
13563,36.0,2,0,1,4,0,21.20601946721312,550.0,1658.7700784313724
26285,36.0,2,0,1,0,0,1.268203125,3543.5,3543.5
14737,48.0,2,0,0,0,0,21.36628311258278,426.5,5382.463867924527
14575,24.0,1,0,0,0,0,3.0436875,930.0,1027.0
7422,37.0,2,0,0,0,0,9.179375,332.475,895.3721052631579
27403,81.0,1,0,0,0,0,0.9445926724137932,29965.83,28885.09222222222
1919,44.0,1,0,1,0,0,33.928163602941176,1345.0,2352.0333509234824
15280,45.0,2,0,0,4,0,8.546314655172415,31500.0,41236.84210526316
9125,38.0,1,0,1,0,0,17.22281707317073,500.0,1028.2760344827589
753,56.0,2,0,1,1,0,5.590446428571429,194.0,726.0423148148149
22454,30.0,1,0,0,0,0,5.113395000000001,3000.0,3603.725238095238
24510,47.0,2,0,0,0,0,28.08820275590552,535.0,1382.9066552901024
3059,38.0,2,0,1,0,0,25.809325039184955,302.0,1260.7131608133088
11331,43.0,1,0,0,4,0,0.7316556490384616,29300.0,24921.8
6072,34.0,1,0,1,0,0,6.986313202247191,1300.0,2971.3206293706294
5262,50.0,2,0,0,0,0,47.447122252747256,511.7,1190.870866062437
11489,39.0,1,0,1,4,0,0.7064651837524177,1499.0,1580.0416666666667
7139,46.0,2,0,1,4,0,26.93783267716536,1200.0,8390.865
9358,46.0,2,0,0,4,1,4.734624999999999,1760.795,2533.571904761905
